referencia,doi_articulo_citante,anio_citado
"Casey M. E., Savastinuk L. C. Library 2.0: Service for the Next-Generation Library // Library Journal. 2006. № 131 (1). P. 42–44.",10.33186/1027-3689-2024-5-85-101,2006
"Pegelow E, Borys D, Gummin D, Laubach E (2016) Clinical toxicity following suvorexant ingestion. Clin Toxicol 54:759–760",10.1007/s11419-024-00706-z,2016
"Fourati W, Bouhlel MS (2005) A novel approach to improve the performance of JPEG2000. In: ICGST international journal on graphics, vision and image processing, 5(5)",10.1007/s00521-024-10149-7,2005
"Limoncu, S., & Bayülgen, C. (2005). Türkiye’de afet sonrası yaşanan barınma sorunları, Megaron YTÜ Mim. Fak. e-Dergisi, 1(1), 18-27",10.53472/jenas.1412321,2005
"Cheong, S. W., Sung, H. C., Park, D. S., 2009, Population viability analysis of a gold-spotted pond frog (Rana chosenica) population: Implications for effective conservation and re-introduction, Korean Journal of Environmental Biology, 27(1), 73-81.",10.5322/jesi.2024.33.11.863,2009
"Xiao, Y.-S.; Zhang, L.; Hu, W.-L.; Zhao, Y.-B.; Hu, H. In Vitro Activity of Synthesized Pyran Derivatives-Inhibitor against Prostate Cancer. Lat. Am. J. Pharm. 2017, 36, 609–612.",10.1515/ncrs-2024-0344,2017
"Ren, J.Y. 2020. Population mobility, urbanization, and resident consumption—an empirical study on the development of high speed rail in the Yangtze river delta region. Journal of Commercial Economics 15: 154–157.",10.1007/s44176-024-00028-9,2020
"Ponce de León, Zoila. “Sistema de Salud en el Perú y el COVID-19”. Políticas y debates públicos, núm. 2, 2021, pp. 1-8. Impreso.",10.19053/uptc.01218530.n49.2024.17168,2021
"Melnyk, Y. (2012).(n.d.) Metodyka pidhotovky do naukovoyi dopovidi. [Emotions as the object of study in Linguistics]. Teoriya i Praktyka Upravlinnya Sotsialnymy Systemamy: Filosofiya, Psykholohiya, Pedahohika, Sotsiolohiya. 1, 29-33 (In Ukrainian)",10.17721/2663-0303.2024.1.01,2012
"Beristain, J., Gonzalo, O. & Sandá, A. Machinability of Al-SiC metal matrix composites using WC, PCD and MCD inserts. Revista De Metalurgia 50, 1–6 (2014).",10.1038/s41598-024-77652-8,2014
"Şahin, M. (2019). Korku, kaygı ve kaygı (anksiyete) bozuklukları [Fear, anxiety, and anxiety disorders]. Eurasian Journal of Researches in Social and Economics (EJRSE), 6 (10), 117-135.",10.69918/ejte.1558103,2019
"Fu, Y.-G., Zhou, C.-P., Hu, H.-P., Research on Differential Evolution Algorithm for Path Planning for Unmanned Aerial Vehicle in Ocean Environment, Acta Armamentarii, 3, 1-9, 2012.",10.17341/gazimmfd.1156817,2012
"Al. Farabi, A. Al Mantegh endal Farabi, Dar al Mashregh, Beirut, gatered by Majed Fakhri, p. 143, 1987.",10.11648/j.ijp.20241202.13,1987
"Sabzevari, M. H. Sharh e- Manzoome, Nashre Naab, vol. 1, Tehran, Iran, ed. 1, 1992.",10.11648/j.ijp.20241202.13,1992
"Chouhan D, Pal SK, Garg S. Experimental study on the effect of welding parameters and tool pin profiles on mechanical properties of the FSW joints. Dimensions. 2013;806:28.",10.1080/01694243.2024.2432392,2013
"Rothkopf, Joshua. 2016. “Purple Reign.” Guitar World, August 2016: 52.",10.2478/meiea-2024-0005,2016
"Hatch, M.H. (1947) The Chelifera and Isopoda of Washington and adjacent regions. University of Washington Publications in Biology, 10, 174–205.",10.11646/zootaxa.5458.3.7,1947
"Layade GO, Adebo BA, Olurin OT, et al. Separation of regional-residual anomaly using least square polynomial fitting method. JNAMP. 2015;30(0):169-180.",10.1177/21925682241282581,2015
"Singh HB, Kumar A, Adhikari BS (2021) Status of invasive alien plant species (IAPs) in Arunachal Pradesh, India: a review. Int J Researches Biosci Agric Technol 2021:604–613.",10.1007/s42965-024-00345-w,2021
"Abd Razak, N. N., Abbas, M. A., Azmi, M. A. A. M., Kamaruzzaman, M. A. H., Chong, A. K., Sulaiman, S. A., Mustafar, M. A., & Hashim, N. M (2023). An Outdoor Terrestrial Laser Scanner Data Quality Assurance: Minimizing Point-Based Self-Calibration Network Configuration. MCRJ Special Issue, 20(3), 203–220.",10.21834/e-bpj.v9i30.6235,2023
"Montgomery, Thomas, 1976. «Complementarity of stem-vowels in the Spanish second and third conjugation», Romance Philology, 29, 281–296.",10.4000/12zjw,1976
"Minchev I.N., Minchev Yu.N., Studies on the Dynamics of Machine Assemblies, EKS-PRES Publishing, Gabrovo, 2019, 372 pages.",10.17770/etr2024vol3.8125,2019
"(EU) 2021/808 of 22 March 2021 on the Performance of Analytical Methods for Residues of Pharmacologically Active Substances Used in Food-Producing Animals and on the Interpretation of Results as Well as on the Methods to be Used for Sampling and Repealing Decisions 2002/657/EC and 98/179/EC. Off. J. Eur. Union., 180, 84-109.",10.3390/foods13081235,2021
"P. Dwivedi, A. A. Waoo, Effective callus induction in Momordica dioica from seed explant, National Journal of Life Sciences, 2021, Vol. 18, No. 1/2, 65-68",10.29121/shodhkosh.v5.i6.2024.1841,2021
"Bezkorovainy D. O., Zvyagintseva I. M., Mazurenko I. O. Diagnosis of a healthy way of life for students of technical specialties as a way to prevent illness. Collection of scientific works “Physical culture, sports and the health of the nation” Zhytomyr State University named after Ivan Franko. 2017. 4 (23). 152-157.",10.31392/udu-nc.series15.2024.1(173).01,2017
"Lee, E., Fontaine, A., MacDonald, S.-A. et Caron, R. (2017). Promouvoir une perspective anti-oppressive dans la formation en travail social. Revue Intervention, 145, 7-20.",10.7202/1111610ar,2017
"Bratchikov S. G., Berman Yu. A., Belotserkovskii Ya. L. etc. Teplotekhnika okuskovaniya zhelezorudnogo syr'ya [Thermal technology of iron-ore raw material pelletizing]. Moscow: Metallurgiya, 1970, 344 p. (In Russ.).",10.32339/0135-5910-2024-6-5-16,1970
"Zhao, K.J., and Y. Wu. 2020. Study on evolution characteristics and synergy between high-speed railway network and economic network in Chinas provincial center cities: take provincial center cities for example. East China Economic Management 34 (02): 77–85.",10.1007/s44176-024-00028-9,2020
"Qin, C.L., Y. Zhu, and Z. Zhong. 2014. The impact of high-speed railway network on China’s urbanization pattern. Urban Problems 09: 9–15.",10.1007/s44176-024-00028-9,2014
"Martínez-Cengotitabengoa M, González- Pinto A (2017) Nutritional supplements in depressive disorders. Actas Esp Psiquiatr 45:8–15",10.55544/jrasb.3.2.43,2017
"A. Jamneshan, O. Shalom, and T. Tao, The structure of totally disconnected Host–Kra–Ziegler factors, and the inverse theorem for the 𝑈^{𝑘} Gowers uniformity norms on finite abelian groups of bounded torsion, Preprint, arXiv:2303.04860, 2022.",10.1090/bproc/229,2022
"Latifah, N. (2019). Pola Keberagamaan Masyarakat Islam di Lombok Nusa Tenggara Barat. Jurnal Elkatarie, 2(1), 117–145.",10.1080/23311886.2024.2352915,2019
"Pritchard E, Drew D (1913) Congenital œsophageal stenosis. Proc R Soc Med 6:33–35",10.1007/s00383-024-05652-w,1913
"Sekar KC, Aseesh P, Srivastava S, Giri L (2015) Invasive alien plants of Himachal Pradesh, India. Indian For 141(5):520–527",10.1007/s42965-024-00345-w,2015
"Guillot, A, Nadrowska, E, Collet, C. Using motor imagery to learn tactical movements in basketball. J Sport Behav 2009;32:189.",10.1515/jirspa-2024-0012,2009
"Amin SK, Sibak H, El-Sherbiny S, Abadir M (2016) An overview of ceramic wastes management in construction. Int J Appl Eng Res 11(4):2680–2685",10.1007/s41062-024-01498-2,2016
"7. Çilingiroğlu, N. ve Demirel, S. (2004). “Yaşlılık ve Yaşlı Ayrımcılığı”. Turkish Journal of Geriatrics, 7 (4), 225-30.",10.37989/gumussagbil.1273125,2004
"Xin ZC, Hu HW, Lao ZH, Zhu LQ, Biskup E, Zhang HW. p-CREB-1 at Ser 133 is a potential marker for breast cancer. <italic>Eur Rev Med Pharmacol Sci</italic>. 2020;24:11628-11638.",10.4196/kjpp.2024.28.2.113,2020
"Vinke, K. & Hoffmann, R. Data for a difficult subject: climate change and human migration. Migr. Policy Pract. J. X, 16–22 (2020).",10.1038/s41558-024-02165-1,2020
"Humayun Y, Aslam A, Azeem T, Abid AS, Shah MAA, Munir MT, Umar S. (2015). Toxic effects of lead on biochemical and histological features and their amelioration by vitamin E in Japanese quails (Coturnix coturnix japonica). J. Avian Res., 2015; 1(1): 4-9.",10.26538/tjpps/v3i6.6,2015
"X. Z. Liu, X. C. Ping, Modal analysis and vibration reduction optimization of impact tool crusher[J]. Sci. Technol. Eng. 22(24), 10557–10565 (2022)",10.1007/s41605-024-00498-1,2022
"Johnson, N. A. & Steiner, D. Mountain bike injury. J. Fam. Pract. 45(3), 192–193 (1997).",10.1038/s41598-024-54774-7,1997
"Şen, G., & Ersoy, G. (2017). Evaluating the level of knowledge of a hospital disaster relief team about disaster preparedness. Gümüşhane university journal of health sciences, 6(4), 122-130.",10.35341/afet.1462631,2017
"Tsukimori, H. 2003. Effects of high temperature on the rice production and the technical counter measures in shimane prefecture Japan. Journal of Crop Science 72:434–39.",10.1080/00103624.2024.2440071,2003
"Forma, Paulina. 2012. „Antynomie funkcji rodziny wielodzietnej”. Pedagogika Rodziny, 2(3): 61-72.",10.14746/tim.2024.36.2.22,2012
"Soniewicka Marta, „Autonomia prokreacyjna” Pressje, nr 17 (2009): 50-66.",10.36128/priw.vi49.451,2009
"Y. Huang, C. Cheng, S. Pan, P. Yang, D. Lin and K. Lee, Biomolecules. 9, 1–14 (2019).",10.1080/00268976.2024.2314132,2019
"Stoop, R., Hohenauer, E., Vetsch, T., Deliens, T. & Clijsen, R. Acute injuries in male elite and amateur mountain bikers: Results of a survey. J. Sports Sci. Med. 18(2), 207–212 (2019).",10.1038/s41598-024-54774-7,2019
"Makna, S. P., & Amron, A. (2023). Pengaruh Social Media Marketing, Persepsi Harga, dan Citra Merek Terhadap Loyalitas Pelanggan Simcard Tri. Jurnal Mirai Management, 8(1), 224-233.",10.53088/jmdb.v4i2.1018,2023
"Solichin, M. M. (2012). Kemandirian Pesantren di Era Reformasi. Nuansa, 9(1).",10.47134/ijsl.v5i1.309,2012
"Quinn PJ (Editor), Markey BK, Leonard FC, Fitzpatrick ES, Fanning S, Hartigan PJ. Veterinary Microbiology and Microbial Disease, UK: John Wiley and Sons Ltd; 27: 300-308. 2011.",10.46810/tdfd.1402193,2011
"Fallahi Khoshknab M, Oskouie F, Ghazanfari N, Najafi F, Tamizi Z, Afshani S, Azadi G. The frequency, contributing and preventive factors of harassment towards health professionals in Iran. Int J Commun Based Nurs Midwife. 2015;3(3):156–64.",10.1186/s12909-024-05094-x,2015
"Vagin Yu. E. The Unevenness of Respiratory Rhythm as an Indicator of Emotional Stress. Sechenov Medical J. 2015, no. 2(20), pp. 13–23. (In Russ.)",10.32603/1993-8985-2024-27-4-91-102,2015
"Anggraeni, Y., & Amron, A. (2024). Fore Coffee Dp Mall Semarang (Studi Kasus: Mahasiswa Perguruan Tinggi Swasta Generasi Z Di Semarang). Arthavidya Jurnal Ilmiah Ekonomi, 26(1), 2579–6070.",10.53088/jmdb.v4i2.1018,2024
"Agboola DA, Fawibe OO, Ogunyale OG, Ajiboye AA (2014) Botanical and Protein Sweeteners. J Adv Lab Res Biol 5(4):169–187",10.1007/s11248-024-00389-7,2014
"Akinrotimi OA, Agokei EO, Aranyo AA. Changes in haematological parameters of Tilapia guineensis exposed to different salinity levels. J. Environ Eng. Technol., 2012; 1:4-12.",10.26538/tjpps/v3i6.6,2012
"Shichikawa K, Maeda A, Ogawa N. [Clinical evaluation of sodium hyaluronate in the treatment of osteoarthritis of the knee]. Ryumachi 1983; 23: 280-290",10.5312/wjo.v15.i8.704,1983
"Isnurhadi, I., Adam, M., Sulastri, S., Andriana, I., & Muizzuddin, M. (2021). Bank capital, efficiency and risk: evidence from Islamic banks. The Journal of Asian Finance, Economics and Business, 8(1), 841–850.",10.1080/23322039.2024.2322889,2021
"M. Adel, M.M. Kadhim, H.H. Muttashar, S.K. Hachim, S.A. Abdullaha, and A.M. Rheima, J. Chem. Eng. 40, 1433–1439 (2023).",10.1080/00268976.2024.2314132,2023
"Braithwaite, J. J., Watson, D. G., Jones, R., & Rowe, M. (2013). A guide for analyzing electrodermal activity (EDA) & skin conductance responses (SCRs) for psychological experiments. Psychophysiology, 49(1), 1017–1034.",10.1186/s41239-024-00462-5,2013
"Prince, and George Lopez. 2011. “Prince Interview.” Lopez Tonight, TBS, April 18, 2011.",10.2478/meiea-2024-0005,2011
"Dwivedi, P., & Waoo, A. A. (2020). COMPREHENSIVE REVIEW ON IN VITRO CULTURE AND ANTI CANCEROUS ACTIVITY OF MOMORDICA DIOICA. CIBTech Journal of Biotechnology, 9–9, 1–8.",10.29121/shodhkosh.v5.i6.2024.1841,2020
"Minchev N.D., Minchev N.N., Some Features of Vibrations of an Elastic Rotor with Unbalance. Mechanics of Machines Journal, No. 19, 1997, pp. 66-74.",10.17770/etr2024vol3.8125,1997
"7. Anna Výrost¬ková, Ján Kepič, Roman Macko, and Viera Homolová, ""Degradation of 0.5Cr-0.5Mo-0.25V steel microstructure during exploitation,"" Mater. Eng. - Materiálové inžinierstvo, 18, 73-78 (2011).",10.15407/pcmm2024.05.108,2011
"Karaman K, Bakhytzhan A. Prediction of concrete strength from rock properties at the preliminary design stage. J Geomech Eng. 2020;23(2):115–125.",10.1080/10589759.2024.2363998,2020
Gao H (2006) Decadal variation of the relationship between summer precipitation along the Huaihe River Valley and SST over the equatorial eastern Pacific (in Chinese). J Appl Meteorol Sci 17:1–9,10.1007/s00382-023-07088-9,2006
"Ma R, Wang L, Peng S, et al. cDNA cloning and expression analysis of three components of SCFCOI1 complex in Hevea brasiliensis. J Rubber Res, 2012, 15: 141–152.",10.1360/ssv-2024-0165,2012
"19. Köse, G, Ayhan, H, Taştan, S, İyigün, E, Hatipoğlu, S. ve Açıkel C.H. (2015). “Sağlık Alanında Farklı Bölümlerde Öğrenim Gören Öğrencilerin Yaşlı Ayrımcılığına İlişkin Tutumlarının Belirlenmesi”. Gülhane Tıp Dergisi, 57, 145-151.",10.37989/gumussagbil.1273125,2015
"Kumar, R., & Saha, P. (2022). A review on artificial intelligence and machine learning to improve cancer management and drug discovery. International Journal for Research in Applied Sciences and Biotechnology, 9(3), 149-156.",10.55544/jrasb.3.2.43,2022
"M. A. Harjianto and D. Kurniawati, “Pengaruh Keterlibatan Pekerjaan, Konflik Pekerjaan-Keluarga Dan Stres Kerja Terhadap Kepuasan Kerja pada Karyawan Wanita Rumah Sakit,” vol. 07, no. 01, 2019.",10.21070/acopen.9.2024.7875,2019
"Yingxun, W., Zongji, C., Genetic algorithms (GA) based flight path planning with constraints, J. Beijing Univ. Aeronaut. Astronaut.(China), 25(3), 355-358, 1999.",10.17341/gazimmfd.1156817,1999
"Dickenson P B. Electron microscopical studies of the latex vessel system of Hevea brasiliensis. J Rubb Res Inst Malaya, 1969, 2: 543–559.",10.1360/ssv-2024-0165,1969
"Patel, A. R., M. L. Patel, R. K. Patel, and B. M. Mote. 2019. Effect of different sowing date on phenology, growth and yield of rice – a review. Plant Archives 19:12–16.",10.1080/00103624.2024.2440071,2019
"Applegate, K. E. & Spiegel, P. K. Ulnar artery occlusion in mountain bikers. J. Sports Med. Phys. Fit. 35(3), 232–234 (1995).",10.1038/s41598-024-54774-7,1995
"Patel, V. & Anikar, M. Prosthetic fixation of beak in a green cheek conure (Pyrrhura molinae) using telemedicine. Pharma Innov. J. 10(1), 585–588 (2021).",10.1038/s41598-024-58762-9,2021
"15. L. M. Svirska, H. V. Krechkovska, and O. Z. Student, ""Cyclic crack resistance of 12Kh1MF steel of various tension zones of TPP steam pipe after long-term operation,"" Visnyk Ternopilskogo Natsionalnogo Universytetu [in Uktainian], Is. 4, 27-34 (2015).",10.15407/pcmm2024.05.108,2015
Sarn .K.S & Bhambri .E (2018) . Exploring gender differences in sleep quality and aggression: A comparative study. Int J Appl Res;4(11):293-296.,10.55860/fyhdb993,2018
"Bian, Y.C., L. Wu, and J. Bai. 2019. Does High-speed Rail Improve Regional Innovation in China? Journal of Financial Research 06: 132–149.",10.1007/s44176-024-00028-9,2019
"Madaan, R., Gyde, N., Vemprala, S., Brown, M., Nagami, K., Taubner, T., Cristofalo, E., Scaramuzza, D., Schwager, M., Kapoor, A., Airsim drone racing lab, NeurIPS 2019 Competition and Demonstration Track, PMLR, 177-191, 2020.",10.17341/gazimmfd.1156817,2019
"Barlas Z, Ozsarac U. Effects of FSW parameters on joint properties of AlMg3 alloy. Weld J. 2012;91(1):16S–22S.",10.1080/01694243.2024.2432392,2012
"Erdoğan, N. (2000). Devleti idare etmek: maduniyet ve düzenbazlık. Toplum ve Bilim Dergisi, 83, 8-31.",10.30561/sinopusd.1469956,2000
"Pan-cancer analysis of whole genomes, Nature 578(7793) (2020) 82-93.",10.1016/j.critrevonc.2024.104349,2020
"Gao JF, Liu CS. 2010. Overview of research on the medicinal resources of conman Magnolcavine fruit. Guide China Med. 8:66–69.",10.1080/23802359.2024.2437099,2010
"Wroński Konrad, Roman Bocian, Adam Depta, Jarosław Cywiński, Adam Dziki, „Opinie pacjentów na temat modelu paternalistycznego w relacji lekarz-pacjent. Prawne aspekty autonomii pacjenta w opiece zdrowotnej” Nowotwory. Journal of Oncology, nr 4 (2009): 266-273.",10.36128/priw.vi49.451,2009
"Mohamed RA, Abdelsalam EB. A review on Pneumonic Pasteurellosis (Respiratory Mannheimiosis) with emphasis on pathogenesis, virulence mechanisms and predisposing factors. Bulg J Vet Med. 2008; 11 (3): 139-60.",10.46810/tdfd.1402193,2008
"Rivero, María Luisa, 2010. «Los verbos psicológicos con experimentante dativo en español y el cambio histórico», Cuadernos de la ALFAL, 1, 167–193.",10.4000/12zjw,2010
"Chen YL, Tan JJ, Lu LL, Tan CH, Jiang SH, Zhu DY. Water-soluble constituents of Clerodendranthus spicatus. Chin Tradit Herbal Drugs. 2009;40(5):689–693.",10.1080/14756366.2023.2296355,2009
"Mariano, K. L. P., A. María Suárez Romero, C. Correa Neto Ribeiro. 2015. “Percepções governamentais sobre a integração regional na América do Sul.” Boletim de Economia e Política Internacional, no. 21: 33–43.",10.1080/08263663.2024.2344316,2015
"Prasad, A., & Prasad, P. (1998). “Everyday struggles at the workplace: The nature and implications of routine resistance in contemporary organizations.” Research in the Sociology of Organizations, 15, 225-257.",10.30561/sinopusd.1469956,1998
"Savchenko V. V., Suzdaltsev D. A., Korolev V. A., Komrakov D. Yu. Comparative Analysis of Contact and Noncontact Technologies for Human Physiological State Monitoring. Biotechnosphere. 2014, no. 1–2 (31–32), pp. 18–23. (In Russ.)",10.32603/1993-8985-2024-27-4-91-102,2014
"Hemid AFA, Abd El-Gaward AH, El-Wardany I, El-Daly EF, Abd El-Azeem NA. Alleviating effects of some environmental stress factors on productive performance in Japanese quail laying performance. World J. Agric Sci., 2010; 6:517–524.",10.26538/tjpps/v3i6.6,2010
"Park, M. K., 2020, Prediction for habitat possibilities of potential risk species (Amphibians) using bio-climate in Korea National Park, Journal of National Park, 11(1), 32-34.",10.5322/jesi.2024.33.11.863,2020
"Aibinu I, Adenipekun T, Adelowotan T, Ogunsanya T, Odugbemi T. Evaluation of the antimicrobial properties of different parts of Citrus aurantifolia (lime fruit) as used locally. Afr J Traditional Complement Altern Med. 2007;4(2):185.",10.1186/s13065-024-01162-x,2007
"Chen, H.; Yang, G.; Liao, X.; Bao, Z.; Zhan, X. Crystal Structure and Anti-lung Cancer Activity of Novel Pyran Derivatives from Traditional Chinese Medicine. Lat. Am. J. Pharm. 2018, 37, 359–362.",10.1515/ncrs-2024-0344,2018
"[28] M. Shimomura, Biomimetics in anthropocene: Towards empathetic “Unwelt”, J. Soc. Instrum. Control Eng. 61 (2022) 4–8 (in Japanese).",10.4164/sptj.61.213,2022
Khan Z (2016) An exploration of prisoners’ perceptions of the incentives and earned privileges scheme: The role of legitimacy. Prison Service Journal 227: 11–16.,10.1177/14773708241255513,2016
"Dubovik, V. & Cheshkov, A. Multipole expansion in classical and quantum field theory and radiation. Sov. J. Part. Nucl. 5, 318 (1975).",10.1038/s41598-024-66848-7,1975
"27. İşcan A. ve Evcimen H. (2018). “Yaşlı Bakım Programı Öğrencilerinin Yaşlı Ayrımcılığına İlişkin Tutumlarının Belirlenmesi”. İnönü Üniversitesi Sağlık Hizmetleri Meslek Yüksekokulu Dergisi, 6 (2), 14-24.",10.37989/gumussagbil.1273125,2018
"Konate, K., N’ganzoua, R.K., Bizro, G.F., Bakayoko, S., Camara, M., 2022. Effet de différentes doses de compost de fiente de poulet sur la fertilité des sols et les paramètres agronomiques de la laitue (Lactuca sativa L.). Agron. Afr. 34(1), 117–131.",10.1016/j.jssas.2024.08.005,2022
"Zhang S, Tian W. Cross talk between cytokinin and jasmonates in regulating the secondary laticifer differentiation in rubber tree (Hevea brasiliensis Muell. Arg.). J Rubber Res, 2015, 18: 38–48.",10.1360/ssv-2024-0165,2015
"Cam D. H., Phuong N., Tri L. D. Potential of kaolin in the Northeast region and its use in industries. Journal of Geology. 2006;A/297:30–37. (In Vietnamese)",10.17073/2500-0632-2023-12-189,2006
"Kang C, Xia Q, Zhang B (2004) Review of power system load forecasting and its development. Autom Elect Power Syst 28(17):1–11",10.1007/s11227-024-06485-z,2004
"Micheli, Robin. 2016. “The Fight for His Artistic Rights.” People, May 2016: 58.",10.2478/meiea-2024-0005,2016
